table_name,mode,granted,lock_count
checkout_meta_idx,RowShareLock,t,1
product_productvariant_external_reference_8f7f4882_like,AccessShareLock,t,1
cart_cartline_product_id_1a54130f,AccessShareLock,t,1
checkout_checkout_last_change_dfde0b31,RowShareLock,t,1
product_product_created_526af21d,AccessShareLock,t,1
collection_meta_idx,AccessShareLock,t,1
cart_cart_user_id_9b4220b9,RowExclusiveLock,t,1
product_pro_publish_a3c049_idx,AccessShareLock,t,1
product_product_slug_76cde0ae_like,AccessShareLock,t,1
product_producttype_slug_key,AccessShareLock,t,1
cart_cart_pkey,RowShareLock,t,1
product_meta_idx,AccessShareLock,t,1
checkout_checkout_charge_status_bd143b33,RowExclusiveLock,t,1
product_producttype_slug_6871faf2_like,AccessShareLock,t,1
product_productchannelli_product_id_channel_id_f50170b5_uniq,AccessShareLock,t,1
cart_cartline_cart_id_c7b9981e,AccessShareLock,t,1
checkout_checkoutline,AccessShareLock,t,1
product_collectionproduct,AccessShareLock,t,1
productvariant_meta_idx,AccessShareLock,t,1
cart_cart_user_id_9b4220b9,RowShareLock,t,1
