Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,_setup/variants,1,0,400.6429750006646,400.6429750006646,400.6429750006646,400.6429750006646,3575.0,0.0013917943070154114,0.0,400,400,400,400,400,400,400,400,400,400,400
POST,browse/product_list,442,0,3400,4325.950240371113,380.6758719983918,14596.153392001725,3669.0,0.6151730837008118,0.0,3500,4900,6100,6900,9300,10000,11000,12000,15000,15000,15000
POST,checkout/1_create,138,0,14000,17718.701831478353,517.9422059991339,56359.25181199855,255.0,0.19206761436812675,0.0,14000,22000,27000,30000,40000,44000,48000,56000,56000,56000,56000
POST,checkout/2_add_line,137,0,14000,17952.79968862069,1986.1143470006937,47806.91001300147,269.95620437956205,0.19067582006111136,0.0,14000,18000,24000,29000,36000,39000,43000,46000,48000,48000,48000
POST,checkout/3_shipping_addr,119,0,69000,69919.55289408438,2453.798079997796,148514.33244500004,474.109243697479,0.16562352253483395,0.0,69000,91000,101000,104000,117000,133000,137000,138000,149000,149000,149000
POST,checkout/4_delivery,92,0,12000,12287.163711032881,4632.743517999188,29198.495821001416,283.07608695652175,0.12804507624541783,0.0,12000,13000,14000,15000,16000,17000,22000,29000,29000,29000,29000
POST,checkout/5_billing_addr,86,0,50000,55451.75459811643,1453.7000519994763,135651.72459399764,220.0,0.11969431040332537,0.0,52000,65000,71000,77000,113000,121000,130000,136000,136000,136000,136000
POST,checkout/6_payment,84,0,7600,7629.281725904987,1666.1256199986383,13417.228843001794,252.0,0.11691072178929456,0.0,7700,8800,9300,9600,10000,13000,13000,13000,13000,13000,13000
POST,checkout/7_complete,69,0,82000,102078.44979743482,7660.369467997953,254494.3581059997,244.0,0.09603380718406337,0.0,82000,121000,141000,160000,205000,228000,248000,254000,254000,254000,254000
POST,detail/product,83,0,3700,4979.032964578503,997.1013419999508,17109.66935199758,1134.6626506024097,0.11551892748227914,0.0,3700,5400,6100,7200,11000,12000,16000,17000,17000,17000,17000
POST,search/products,116,0,1700,2424.0063722588175,182.4275540020608,8239.14898500152,299.41379310344826,0.1614481396137877,0.0,1800,2800,3700,4200,5300,6600,7200,7300,8200,8200,8200
,Aggregated,1367,0,8300,21518.360634085024,182.4275540020608,254494.3581059997,1437.9970738844183,1.9025828176900672,0.0,8300,12000,20000,30000,68000,99000,132000,160000,248000,254000,254000
